#rho	velocity
0.8392	1.1112
0.8317	1.1047
0.8247	1.0952
0.8183	1.0875
0.8133	1.0802
0.8104	1.0733
0.8085	1.0690
0.8079	1.0710
0.8076	1.0808
0.8081	1.0938
0.8098	1.1108
0.8119	1.1278
0.8157	1.1420
0.8205	1.1550
0.8258	1.1645
0.8311	1.1705
0.8362	1.1745
0.8413	1.1747
0.8465	1.1665
0.8516	1.1587
0.8573	1.1430
0.6611	1.1965
0.6603	1.1993
0.7293	1.1048
0.7295	1.1033
0.7300	1.1155
0.7301	1.1342
0.7303	1.1592
0.7307	1.1858
0.7319	1.2050
0.7334	1.2263
0.7343	1.2377
0.7350	1.2425
0.9817	1.2210
0.9742	1.2400
0.9665	1.2557
0.9588	1.2670
0.9514	1.2770
0.9450	1.2838
0.9391	1.2892
0.9345	1.2902
0.9309	1.2842
0.9280	1.2792
0.9261	1.2735
0.9250	1.2643
0.9243	1.2513
0.9242	1.2345
0.9242	1.2145
0.9235	1.1957
0.9209	1.1768
0.9166	1.1573
0.9117	1.1410
0.9071	1.1255
0.9030	1.1123
0.9004	1.1062
0.8992	1.1060
0.8993	1.1135
0.8748	1.1485
0.8696	1.1447
0.8640	1.1395
0.8587	1.1295
0.8537	1.1128
0.8484	1.0950
0.8437	1.0882
0.8398	1.0887
0.8371	1.0948
0.8348	1.0970
0.8326	1.0987
0.8311	1.0968
0.8303	1.0877
0.8307	1.0790
0.8321	1.0692
0.8346	1.0628
0.8376	1.0530
0.8416	1.0450
0.8466	1.0375
0.8517	1.0380
0.8484	1.2127
0.8449	1.2037
0.8425	1.1985
0.8413	1.1927
0.8399	1.1783
0.8376	1.1680
0.8337	1.1592
0.8289	1.1527
0.8246	1.1445
0.8204	1.1427
0.8170	1.1502
0.8141	1.1592
0.8123	1.1650
0.8111	1.1723
0.8111	1.1783
0.8117	1.1805
0.8135	1.1805
0.8172	1.1755
0.8228	1.1707
0.7605	1.0875
0.7600	1.0757
0.7603	1.0682
0.7612	1.0605
0.7636	1.0505
0.7670	1.0358
0.7709	1.0230
0.7750	1.0155
0.7782	1.0110
0.7803	1.0240
0.7805	1.0487
0.7791	1.0815
0.7765	1.1197
0.8822	0.9940
0.8763	0.9962
0.8717	1.0030
0.8676	1.0128
0.8647	1.0180
0.8626	1.0182
0.8618	1.0200
0.8620	1.0195
0.8619	1.0213
0.8622	1.0250
0.8619	1.0307
0.8614	1.0300
0.8605	1.0263
0.8597	1.0228
0.8597	1.0240
0.8613	1.0328
0.8642	1.0425
0.8679	1.0533
0.8726	1.0652
0.8772	1.0755
0.8823	1.0808
0.7912	1.1457
0.7899	1.1400
0.7899	1.1385
0.7907	1.1412
0.7919	1.1487
0.7925	1.1655
0.7924	1.1830
